pad-thai-recipe,"Push the noodles to the side, add the egg, whisk and break it up with the spatula, and allow it to set a bit, 10 or 20 seconds. Break it up, and toss the egg with the noodles. Add the bean sprouts, peanuts, and scallions. Transfer to a large platter and serve topped with the broccolini, and lime wedges."
Recipe                           ,Instruction
pasta-with-creamy-crushed-walnuts,"While youâ€™re bringing a large pot of water to a boil, crush the walnuts and garlic together in a mortar and pestle. Alternately, you can pulse with a hand blender, but leave a bit of texture & chunkiness."
pasta-with-creamy-crushed-walnuts,"Cook the pasta per package instructions in salted water. Once the pasta is in the pot, and the pasta water is nice and starchy, reserve 2 cups of the pasta water. Whisk a cup of the pasta water into the walnut mixture, adding more until your sauce is thick as heavy cream. Youâ€™ll likely need about 1 3/4 cups, maybe a splash more. Stir in half the cheese, a couple tablespoons of lemon juice, and more freshly ground black pepper than you think youâ€™d want. Taste and add a bit more salt to the sauce if needed. If itâ€™s all in balance, this should taste Awesome. Capital A awesome."
pasta-with-creamy-crushed-walnuts,"Transfer the cooked pasta to a large bowl and toss with the walnut sauce. Sprinkle with lemon zest and top with some fresh herbs if you have them (thyme is nice here), breadcrumbs, and a drizzle of chili oil."
Recipe             ,Instruction
falafel-bowl-recipe,"Preheat the oven to 450Â°F. Place a large skillet or pot over high heat. When hot, add the spinach, in batches if necessary. Stir until collapsed and most of the moisture has evaporated. Transfer to a cutting board, and chop well. The more chopped, the better."
falafel-bowl-recipe,"Combine the eggs, garlic, chickpeas, breadcrumbs, cheese, baking powder, and salt in a blender. Blend until combined. Transfer to a large bowl, add the lemon zest and chopped spinach, and stir until uniform."
falafel-bowl-recipe,"With your hands, form the mixture into small, 1 1/2-inch balls. You should end up with 20-30-ish balls. Place on a baking sheet, smush them down a bit, and put in the oven for 20 minutes or so, until very golden, flipping once along the way. If you don't bake all of them, freeze the remaining. Alternately, you can cook the falafel in a skillet with a splash of olive oil."
falafel-bowl-recipe,"Serve the falafel with a sauce, or dipping sauce, or with additional components (listed in ingredients list) as part of a falafel bowl. Enjoy!"
Recipe                  ,Instruction
great-vegan-ramen-recipe,"Toss whatever raw vegetables you're using with the Spicy Turmeric Oil, and divide them between bowls. Cook the noodles according to package, and divide into four bowls. Gently heat the cashew milk (if serving hot), just until very hot (not simmering). Stir some of the milk into the 3 tablespoons of Miso Tare to thin it out, and then add it back to the cashew milk. Taste, and add more Miso Tare if needed. The broth should taste great at this point!Â "
great-vegan-ramen-recipe,"Pour one cup of broth over each plate of noodles. Top with any extra toppings, nuts, or vegetables you might be using."
great-vegan-ramen-recipe,"Combine the miso, chile flakes, scallions, ginger, garlic, mirin, and spice paste in a small saucepan over gentle heat. You just want to warm this for a few minutes, to get the ginger, garlic, and scallions to sweat a bit."
great-vegan-ramen-recipe,"Combine the ginger, turmeric, seeds, red pepper flakes, and paprika with the sesame and sunflower oil in a small saucepan over very gentle heat. Bring barely to a simmer. Stir constantly for a minute, remove from heat and add the sake, brown sugar, and miso. Return to heat, and allow the flavors to combine, stirring constantly for another thirty seconds or so."
Recipe                   ,Instruction
sesame-seeded-tofu-recipe,"Pat the tofu dry, and slice into 1/2-inch by 1-inch batons. Gently toss the tofu with the soy sauce, and allow to sit for a couple of minutes. Pour the seeds onto a plate. Pick up a tofu baton, dip one side into the seeds, and transfer to a another plate. Repeat with all the tofu batons."
sesame-seeded-tofu-recipe,"This is one of the few cases where I prefer to use a non-stick pan. Alternately, a very well-seasoned cast iron pan will work. Heat the oil over medium-high heat, and arrange the tofu, seeded side down, in the pan. Cook until golden on the bottoms, 4-5 minutes. Brown the remaining sides, and remove from skillet. Serve as is, or as pictured (over flash-boiled green beans), to top off a rice bowl, or over whatever roasted vegetables you might have going!"
Recipe                      ,Instruction
ultimate-vegan-nachos-recipe,"Preheat oven to 350F, arrange the chips on an oven-proof baking sheet or platter. Top with the beans and dollops of the cheese (you'll have leftover). Bake for ten minutes or so, until the beans and cheese are heated through. In the meantime, in a small bowl, smash the avocado with a fork and a pinch of salt. When warm, remove the chips from the oven, top with the avocado, and any other toppings you like."
ultimate-vegan-nachos-recipe,"In a medium saucepan over medium-high heat combine the olive oil, onion, garlic, and salt. Cook, stirring regularly, until the onions soften, 3-5 minutes. Add the paprika, garlic powder, and chipotle, and cook for another minute. Stir in the sweet potatoes, cashews, and water, and bring to a simmer. Cook for 5 minutes or so, until the sweet potatoes are tender."
ultimate-vegan-nachos-recipe,"Transfer the mixture to a high-speed blender, add the lemon juice, and blend until completely smooth, 2-3 minutes. Add water a splash at a time to thin consistency if needed. Taste, and adjust seasoning if needed."
Recipe           ,Instruction
vegetarian-paella,"Preheat oven to 300Â°F. Heat the olive oil in a large (11 1/2-inch skillet) over medium heat- if you don't have a skillet that large, use a 9 1/2-inch skillet and cut the recipe in half. Sauce the carrots, scallions (or spring onions), until translucent. Stir in the garlic, and let it cook a little longer. Add the rice, stir well, and cook until the grains are also translucent, a few minutes - be mindful to not allow the rice to burn. Stir in the sofrito. Add the paprika. Crush the saffron with your fingers, and add that as well."
vegetarian-paella,"Stir in the vegetables, pour the hot stock over all of it, stir, and bring to a moderate simmer. No more stirring allowed. Simmer for exactly 17 minutes. Set a timer. Taste the stock and re-season if necessary."
vegetarian-paella,"Move the paella to the oven and bake for another 12 minutes. Remove, and if you want to try to get a bit more crust on the base of your paella, and youâ€™re confident your paella wonâ€™t burn, return the paella to a burner for another minute or so. Remove from heat and allow it to rest for another few minutes. Top with anything else you like - olives, nuts, lemons, herbs, etc. Serve family style in the pan."
Recipe                  ,Instruction
beer-roasted-cauliflower,"Pre-heat the oven to 425F. In a medium-large saucepan combine the beer, garlic, olive oil, salt, chile flakes, water, and lemon juice. Bring to a boil, and lower the cauliflower into the pot. Cover, and simmer for ten minutes or so, flipping once or twice along the way. Use a strainer to drain and transfer the cauliflower to a cutting board, and (IMPORTANT) keep all that broth in the pot.Â "
beer-roasted-cauliflower,"Cut the cauliflower into four wedges, and place on a rimmed baking sheet or baking pan. Roast until deeply golden, flipping once along the way, twenty minutes or so. Check on the bottom now and then, to avoid burning. Remove from oven."
beer-roasted-cauliflower,"While the cauliflower is roasting, dial back the heat under the broth. When the cauliflower is nearly done, bring the broth back to a boil, add the pasta, and cook per package instructions. Serve the cauliflower in wedges in the brothy pasta with a showering of fresh herbs, and a dusting of Parmesan."
Recipe                 ,Instruction
panglazed-tempeh-recipe,"Put the orange juice in a small bowl. Squeeze the grated ginger over the bowl to extract the juices, then discard the pulp. Add the tamari, mirin, and maple syrup, ground coriander, and garlic. Mix together and set aside."
panglazed-tempeh-recipe,"Cut the tempeh (or tofu) into thin-ish, bite-sized pieces, and if working with tofu, pat dry with a paper towel."
panglazed-tempeh-recipe,"Put the coconut oil in a large frying pan over medium-high heat. When the oil is hot but not smoking, add the tempeh and fry for 5 minutes, or until golden underneath. Turn and cook the other side for another 5 minutes, or until golden. Pour the orange juice mixture into the pan and simmer for 10 minutes, or until the sauce has reduced to a lovely thick glaze. Turn the tempeh once more during this time and spoon the sauce over the tofu from time to time."
panglazed-tempeh-recipe,"Serve the tempeh drizzled with any remaining sauce and a squeeze of lime, with the coriander scattered on top. Heidi note: As I mention in the head notes, I served this over some leftover wheat berries heated with a few handfuls of chopped kale."
Recipe               ,Instruction
weeknight-ponzu-pasta,"To make the dressing, in a small bowl, whisk together the ponzu, garlic, chile, and sesame oil. Taste, adjust, and set aside."
weeknight-ponzu-pasta,"When the pasta water is boiling, salt the water, add the pasta, and cook per package instructions. Use a strainer to transfer the cooked pasta into a large serving bowl. Use the same boiling pasta water to cook the green beans for about a minute, add the broccoli, and allow to cook another minute. Until both are just tender. Quickly drain and transfer to the bowl with the pasta.Â "
weeknight-ponzu-pasta,"Add the tofu, and the ponzu dressing, and toss well. Add the cilantro, and any other bonus ingredients, give one last toss, and serve immediately."
Recipe                         ,Instruction
instant-pot-mushroom-stroganoff,"In a small bowl combine the caraway seeds and the vodka, set aside. SautÃ© the olive oil and onions in the Instant Pot on the highest SAUTE setting for a minute or two. Stir in the garlic and mushrooms, and cook for a few minutes more, until everything softens up a bit. Stir in the tomato paste, and then the flour, and cook, stirring gently, but constantly for another few minutes, to toast the flour a bit. Add the mustard, salt, and pepper, broth, and pasta. Give one last stir to distribute the pasta evenly, and press CANCEL to stop the SAUTE."
instant-pot-mushroom-stroganoff,"Close the pot, and secure the lid. SEAL the valve. Select PRESSURE COOK (or MANUAL) and calculate your cooking time. To do this, refer to your pasta package, the time will be half of the shortest recommended cooking time, rounded down to nearest minute. For example my pasta package recommended 7 - 9 minutes. Take the smaller number (7), cut in half (3.5), round down to nearest whole number (3). SET/ADJUST TIME - in my case, to 3 minutes. When finished, carefully QUICK RELEASE pressure by shifting the valve to VENTING. Gently shake or tap the pressure cooker, and then carefully open away from you. Stir in the vodka-caraway mixture, simmer for a few more minutes, and stir in cashew milk. Taste and adjust seasoning, serve topped with lots of dill and almonds."
Recipe                ,Instruction
quick-vegan-enchiladas,Preheat oven to 425F.Â Â 
quick-vegan-enchiladas,"In a large mixing bowl combine the olive oil, sweet potato puree, turmeric, half of the grated garlic, taco seasoning, salt, zest of the lemon, and 1 1/2 cups of water. Stir well."
quick-vegan-enchiladas,"Ladle a cup of the sweet potato mixture into the bottom of an 8 x 12-inch (or larger) baking dish, or equivalent. Lay the tortillas on a work surface, and divide the black beans equally between them, sprinkle equally with olives. Roll up tortillas, and place seam side down in baking dish. Pour the remaining sauce on top (it will thicken).Â "
quick-vegan-enchiladas,"Bake the enchiladas for 30-35 minutes, or so. Half way through, sprinkle with sliced almonds, and finish baking - until golden and bubbling. While the enchiladas are baking, thin the tahini with 1/4 cup warm water. Whisk in the remaining garlic, a pinch of salt, and squeeze of lemon juice. Top the enchiladas with dollops of the tahini sauce, and the fresh cilantro when they come out of the oven. Serve hot!"
Recipe                                   ,Instruction
white-bean-soup-with-pesto-herb-dumplings,"In a large, wide soup pot saute the onions and carrots in the olive oil over medium high heat. Cook until the vegetables are tender, 5-7 minutes. Stir in the caraway seeds, if using, and then sprinkle with the flour, stir, and allow to cook for another 2-3 minutes, allowing the flour to toast just a bit. Stir in the water, and salt, and bring to a gentle simmer, and cook until the soup thickens, 5 minutes or so. Stir in the beans. Allow to simmer gently while you make the dumplings."
white-bean-soup-with-pesto-herb-dumplings,"In a mixing bowl, combine the almond milk, egg, and pesto, whisk well, until uniform, then add the herbs. In another mixing bowl whisk together the flour, baking powder, and salt. Pour the liquid ingredients into the dry, then stir with a large fork until just combined. Drop generous tablespoons of this dumpling mixture into the gently simmering soup. Resist the urge to make the dumplings larger than this, they will definitely blossom in size. It's fine if the dumplings are touching. Cover and cook for 7 minutes or so. Use a big spoon to flip each dumpling, and cook for another 7 minutes, or until cooked through. Serve hot, topped with more chopped herbs and scallions."
Recipe                                ,Instruction
instant-pot-chickpea-cauliflower-korma,"Pour the sauce into the bottom of the Instant Pot in an even layer. Add the cauliflower, chickpeas, tomatoes, onion, garlic, and ginger. Give it all a little bit of a stir, and close the pot. Secure the lid, set the pressure release valve to SEALING. Press MANUAL for 4 minutes at high pressure.Â "
instant-pot-chickpea-cauliflower-korma,"When cooking is complete, carefully QUICK RELEASE. Gently shake or tap the pressure cooker, and then carefully open away from you. Stir in half of the cilantro, and reserve the rest for serving. Scoop the korma into deep bowls and add as many toppings as you like."
Recipe                 ,Instruction
winter-green-miso-paste,"Use a food processor or blender to puree all ingredients into a paste. Taste, adjust seasoning, and use."
Recipe                            ,Instruction
instant-pot-minestrone-soup-recipe,"Press the SAUTE button on the Instant Pot, and press it again to bump it to SAUTE MORE. Heat the olive oil in the Instant Pot. When hot, sautÃ© the onion, carrots, celery, and garlic until softened, 5-7 minutes. Stir in the chile flakes. Add the beans, potatoes, Parmesan rind (if using), and 8 cups of water. Press CANCEL."
instant-pot-minestrone-soup-recipe,"Close and seal the pot, and pressure cook on MANUAL for 40 minutes* (high). Carefully QUICK RELEASE. Gently shake or tap the pressure cooker, and then carefully open away from you. Remove the Parmesan rind, and gently stir in the salt. Taste and adjust with more if needed. Stir in the kale, and once it has collapsed stir in the tomatoes. Serve as-is, or topped with chopped olives, and a dusting of cheese."
Recipe                 ,Instruction
california-tom-yum-soup,"Bring the water to a boil in a medium saucepan, add the raw tomato, guajillo chile, and sugar. Simmer for a few minutes, until the tomato softens a bit, add the Tom Yum Paste*.Â "
california-tom-yum-soup,"Allow to simmer for a minute or two, before adding the mushrooms. Simmer until tender, just a minute or two. Add a small splash of shoyu or soy sauce, and about half of the lime juice. Taste, and adjust with more of either, if needed. Place 1/4 cup of chopped cilantro in the base of each bowl, and top with the soup."
california-tom-yum-soup,"Using a mortar and pestle, smash the shallots, lemongrass, serrano chiles, ginger, lime leaves, lemon zest, and salt into a very rough paste. Set aside. If your mortar and pestle is on the small size, work in batches."
Recipe              ,Instruction
spicy-tahini-noodles,"Preheat the oven to 450F. Toss the vegetables with the olive oil, and season with salt and pepper. Arrange in a single layer across two baking sheets, and roast until deeply golden, about 15-20 minutes. Flip with a spatula once or twice along the way. Remove and set aside."
spicy-tahini-noodles,"While your vegetables are roasting, whisk the tahini with 1/2 cup warm water. Season generously with salt, pepper, and a big squeeze of lemon juice. It should taste delicious. Set aside while you cook your noodles in a large pot of well-salted water, per package instructions. Drain the noodles, and toss on a large platter with the tahini sauce.Â "
spicy-tahini-noodles,"Serve topped with the roasted vegetables, a drizzle of the sesame-chile oil, and any of the bonus ingredients you might have on hand."
Recipe                       ,Instruction
slow-cooker-miso-corn-chowder,"Heat the ghee in a large skillet over medium heat*. Add the onion and a pinch of salt, sautÃ© stirring frequently, until translucent, 5 minutes or so. Transfer to a 6-quart (or larger) slow cooker.Add the corn, potatoes, and yellow split peas to the cooker, and pour in the stock. Cover and cook on low for 6-8 hours."
slow-cooker-miso-corn-chowder,"When you're ready to serve, stir in the miso paste, and season with salt and pepper. Use a spoon to break up some of the potatoes, or use an immersion blender to give the chowder a few quick pulses. This will thicken the chowder. It's basically up to you depending on how brothy or creamy you like it. Ladle into bowls and top generously with the toppings you like."
Recipe            ,Instruction
saag-paneer-recipe,"Chop the spinach well, and set aside in a large bowl."
saag-paneer-recipe,"While you're chopping spinach, cook the paneer in one tablespoon of the butter over medium heat in a large skillet. Make sure the paneer is in a single layer and use a spatula to flip it regularly so all sides get deeply brown. This typically takes 7 minutes or so. Remove from the pan and set aside."
saag-paneer-recipe,"Heat the other tablespoon of butter in your largest soup pot. Add the onions and salt, and saute until the onions soften up, five minutes or so. Add the garlic, ginger, spice mixture, and turmeric. Cook, stirring frequently, until fragrant and nicely combined - a minute or two."
saag-paneer-recipe,"Turn the heat up to medium-high and add the spinach to the pan all at once, if possible. Cook, stirring all the while, until the spinach is collapsed and wilted, a couple of minutes. If you need to add the spinach in batches (adding more spinach as it collapses), that is fine too, just do it as quickly as possible."
saag-paneer-recipe,"Stir in the buttermilk and cream and heat gently while stirring. If the mixture seems dry, add more buttermilk a splash at a time (this rarely happens to me). Taste and add more salt if necessary and more red pepper flakes if you like. Add a generous squeeze of fresh lemon juice, stir in the paneer, sprinkle with sesame seeds and serve."
Recipe                 ,Instruction
easy-tomato-pasta-salad,"Arrange the kale in a large serving bowl. Cook the pasta in salted water per the package instructions, drain, and shake off any additional water."
easy-tomato-pasta-salad,"Make the dressing by toasting the caraway in a dry skillet just until fragrant - a minute or two, tossing regularly. Transfer to a mortar and pestle, and crush the seeds. Add the garlic, and the salt, and crush into a paste. Work in the harissa, followed by the lemon juice, and then the water, eventually the nutritional yeast, and tahini (if using). Taste and add more salt if needed (I sometimes add a bit of sweetness at this step too if the lemon is too assertive)."
easy-tomato-pasta-salad,"Just before serving pour 1/3 of the dressing over the kale and toss well. Add the pasta, another third of the dressing, and toss again. Arrange the tomatoes, and basil on top of the kale-pasta, and give the gentlest toss, being extra nice to the tomatoes. Drizzle with the remaining dressing, and top with any of the suggestion extra toppings. Enjoy!"
Recipe                ,Instruction
watermelon-poke-recipe,"Make the sauce by combining the zest, ginger, honey, cayenne, and salt in a food processor (or use a hand blender) and process until smooth. Add the lemon juice, rice vinegar, and soy suace, and pulse to combine. With the machine running, drizzle in the oils."
watermelon-poke-recipe,"Slice the watermelon into cubes that are roughly 1/2-inch - 3/4-inch in width. Transfer to a large bowl or container. Pour the sauce over the top of the watermelon and gently toss. Refrigerate for a few hours, or overnight. If you remember to toss the watermelon once or twice along the way, even better."
watermelon-poke-recipe,"Use a slotted spoon to transfer the watermelon pokÃ© to a serving bowl or platter, shaking off extra sauce. Reserve any remaining sauce to use as seasoning (for a poke bowl, or to season rice, etc.). Sprinkle with sliced green onions, and sesame seeds."
Recipe    ,Instruction
taco-salad,"In a large skillet over medium high heat combine the oil and tempeh, and cook, until browned. Transfer to a large serving bowl, add the taco seasoning, and stir well. Allow to cool for a bit while you make the dressing."
taco-salad,"Combine the ketchup, apple cider vinegar, sweetener, salt, smoked paprika, onion powder, and oil in a jar. Close with a lid, and shake vigorously until creamy and emulsified. Alternately, you can use a blender or hand blender."
taco-salad,"Just before serving, add the beans, and black olives to the tempeh mixture, drizzle generously with some of the dressing, and toss well. Add the green onions, lettuce, cilantro, chips, avocado, and more dressing, if you like, and gently toss again. Serve as-is, or topped with a squeeze of lime, some tomatoes, more avocado, and green onions, and herbs."
Recipe                            ,Instruction
spicy-instant-pot-taco-soup-recipe,"Press the SAUTE button on the Instant Pot, and press it again to bump it to SAUTE MORE. Heat the olive oil in the Instant Pot. When hot, sautÃ© the onion and garlic until softened, 5-7 minutes. Stir in the taco seasoning. Add the quinoa, water, salt, beans, corn, tomatoes, and salsa. Press CANCEL."
spicy-instant-pot-taco-soup-recipe,"Close and seal the pot, and pressure cook on MANUAL for 10 minutes (high). Carefully QUICK RELEASE. Gently shake or tap the pressure cooker, and then carefully open away from you. Taste and adjust with more salt, if needed. Serve as-is, or topped with pepitas, sliced avocado, cilantro, and salted yogurt."
Recipe                  ,Instruction
good-chana-masala-recipe,"Heat the oil in a medium saucepan over medium heat. Stir in the onion, and saute for 5 minutes or so. Stir in the ginger, garlic, and serrano chile, and allow to cook for another minute or two, or until fragrant. Add the garam masala, turmeric powder, cayenne, coriander, cumin, and salt. Stir well, and then add the tomatoes and water. Simmer for 2-3 minutes or until thick. Remove the sauce from heat, and reserve half for later use - it will keep refrigerated for 5 days or so, or freeze."
good-chana-masala-recipe,"Mash about half of the chickpeas with a big fork or potato masher. This is the magic trick. Combine the whole and smashed chickpeas with 1 cup of the simmer sauce, and the chana masala powder in a medium saucepan over medium heat. Stir well, and add a generous splashes of water to thin the chana masala out, to loosen it up a bit, until it is a porridge consistency. This is usually in the range of 1 - 1 1/4 cups. Stir in a generous squeeze of lemon or lime juice, and serve showered generously with lots of chopped scallions and cilantro. Enjoy!"
Recipe                   ,Instruction
instant-pot-congee-recipe,"Combine the rices (and any bonus grains), water, salt, and turmeric in the Instant Pot or multi cooker. Secure the lid, set the pressure release valve to SEALING. Press MANUAL and set for 30 minutes at high pressure. Let the pressure NATURAL RELEASE (30-40 minutes). Gently shake or tap the pressure cooker, and then carefully open away from you. If you like the consistency a bit thinner, add more hot water or broth."
instant-pot-congee-recipe,"Serve the congee topped with whatever toppings you like - peanuts, a spicy chile or oil sriracha, something a bit salty, and something green are favorites. But, you're only limited by your imagination here!"
Recipe                 ,Instruction
instant-pot-plov-recipe,"SautÃ© the olive oil and onions in the Instant Pot on the highest SAUTE setting until softened and starting to brown just a bit, about 5 - 7 minutes. Stir in the chile flakes. Working quickly, scatter the chickpeas, garlic, and black olives on top of the onions in a layer, without stirring, and add 1/2 cup of the salted water."
instant-pot-plov-recipe,"Layer the spinach and herbs over the chickpea layer, again, not stirring. Smooth the greens into a layer with the back of a spoon (if you're using fresh spinach, do this as it begins to collapse). Add the rice in an even layer, sprinkle with saffron, and add enough salted water to just cover the rice - ~1 1/2 cups. Press Cancel to stop the saute."
instant-pot-plov-recipe,"PRESSURE cook for 25 minutes, and then allow to NATURALLY RELEASE for 15 minutes. Then you can carefully QUICK RELEASE PRESSURE. Gently shake or tap the pressure cooker, and then carefully open away from you. Serve toped with any/all of the suggested toppings."
Recipe                      ,Instruction
instant-pot-chili-mac-recipe,"Combine the chili, beer, water, and pasta in the Instant Pot. Close the pot, and secure the lid. SEAL the valve. Select PRESSURE COOK (or MANUAL) and calculate your cooking time. To do this, refer to your pasta package, the time will be half of the shortest recommended cooking time, rounded down to nearest minute. For example my pasta package recommended 8 - 10 minutes. Take the smaller number (8), cut in half (4), and round down to nearest whole number (if necessary). SET/ADJUST TIME - in my case, to 4 minutes.Â "
instant-pot-chili-mac-recipe,"When finished, carefully QUICK RELEASE pressure by shifting the valve to VENTING. Gently shake or tap the pressure cooker, and then carefully open away from you. Stir in cashew milk. Taste and adjust seasoning, serve topped with lots of scallions, cilantro, red onions, etc."
Recipe                     ,Instruction
instant-pot-brown-rice-bowl,This recipe uses the pot-in-pot method. You'll need two oven-proof or stainless steel containers you can stack inside your Instant Pot without obstructing the lid. I use two Pyrex containers (pictured above).
instant-pot-brown-rice-bowl,"Pour the two cups of water into the first container, the one you're going to use for rice. Whisk in the curry paste, and the salt. Taste, and add more salt or curry paste if you like. Add the rice. Place the chickpeas in a second container (no additional water in this container)."
instant-pot-brown-rice-bowl,"Arrange the steamer rack in the bottom of the Instant Pot, add 2 cups of water. Put the chickpea container inside the pot, and stack the rice container on top of the chickpea container. Close the pot, close the valve, and PRESSURE cook for 22 MINUTES. Let the pressure naturally release for ten minutes, and then, carefully, quick release. Carefully remove from the pot."
instant-pot-brown-rice-bowl,"Serve each bowl with brown rice, some chickpeas, and all sorts of toppings - avocado, peanuts, herbs, and scallions. Whatever you have on hand! There are suggestions in the ingredient list. A dollop of salted yogurt is also delicious here."
Recipe                         ,Instruction
instant-pot-fiasco-beans-recipe,"Place the beans, water, olive oil, garlic, sage, and red pepper flakes in the Instant Pot. Close the lid, turn the lever in the back to ""seal"". Pressure cook on high for 22 minutes. When finished, allow to natural release for ten minutes, and then carefully finish with quick release. Gently shake or tap the pressure cooker, and THEN carefully open away from you. Gently, stir in the salt and kale, it will collapse in a minute or two. Transfer the beans to a large serving bowl. Serve each bowl with any of the suggested toppings you like."
Recipe            ,Instruction
simple-carrot-soup,"In a large soup pan over medium-high heat add the butter and onion. Stir until the onions are well-coated, and allow to saute until translucent, a few minutes. Add the curry paste, and then stir in the carrots. Allow to cook another minute or two, and then add the coconut milk, salt, and water, adding more water to cover if needed."
simple-carrot-soup,"Simmer until the carrots are tender, 10 - 15 minutes, then puree using a blender or hand blender until the soup is completely silky smooth. The next part is important, you're going to make any needed adjustments. For example, add more water if the consistency needs to be thinned out a bit. Taste for salt, adding more if needed. I also like to season this soup with a great big squeeze or lemon or lime juice. Serve topped with whatever you have on hand. Something crunchy like almonds is nice. Along with a final touch of something green, like micro greens & cilantro."
Recipe            ,Instruction
thai-zucchini-soup,"Heat the coconut oil in a large saucepan over medium-high heat, stir in the shallots and a couple generous pinches of salt, and sautÃ© until soft. Stir in the green curry paste along with a dollop of cream from the top of the coconut milk. Stir well, and sautÃ© for another minute or so, until fragrant.Â "
thai-zucchini-soup,"Stir in the zucchini with another couple of pinches of salt, and sautÃ©, being careful not to brown, until the zucchini is tender 5-7 minutes, or so. Add the remaining coconut milk and the water, let everything come up to a simmer, and remove from heat. Season the soup with the juice of lime, and salt to taste. It's all about balance here, and the soup should be brothy with strong coconut-lime flavor.Â "
thai-zucchini-soup,"Serve over a scoop of brown rice, topped with any (or all!) of the toppings suggested, or experiment with your own ideas."
Recipe                ,Instruction
dark-and-stormy-recipe,"Add the rum to a tall, straight-sided glass. Add a squeeze of lime juice, if you like.Â "
dark-and-stormy-recipe,"Add lots of ice, and top off with the kombucha. Garnish with a couple of thinly sliced lime wheels. Enjoy!"
Recipe        ,Instruction
iced-green-tea,"Place the green tea, rose petals, and coriander in a pitcher. Bring 1/2 cup / 120ml water not quite to a boil. Pour it over the tea leaves wait ten seconds, then add the remaining 3 1/2 cups water."
iced-green-tea,Â Refrigerate until the tea is a strength you like - typically 4 - 8 hours. Strain and serve over ice.
Recipe                   ,Instruction
yellow-tomato-bloody-mary,"Core the tomatoes, place in a bowl, and puree with a hand blender, you'll need 1 cup. Combine the tomatoes with the rest of the ingredients in a cocktail shaker or mason jar.Â "
yellow-tomato-bloody-mary,"Prepare four glasses with ice, and pour the mixture into the prepared glasses. Thread garnishes on short skewer or stem, if using, and serve immediately."
Recipe                         ,Instruction
instant-pot-dynamite-cold-tonic,"Combine all of the ingredients in the Instant Pot. Secure the lid, and set the pressure release to SEALING. Select MANUAL, and pressure cook on HIGH for 5 minutes. Allow to NATURAL RELEASE for up to 25 minutes (or QUICK RELEASE after 15 minutes, for slightly weaker tonic). Strain, and transfer to glass jars. Serve warm, sweetened with a bit more honey or maple syrup if needed ;). It's best hot."
Recipe                        ,Instruction
rhubarb-rosewater-syrup-recipe,"Combine the rhubarb and sugar in a medium, thick-bottomed saucepan. Stir well, and leave for 45 minutes or so (unheated), stirring now and then."
rhubarb-rosewater-syrup-recipe,"Add the water and bring to a gentle simmer over medium heat, stirring until the sugar dissolves. Continue to simmer for another 15-20 minutes, until the rhubarb starts to break down. Carefully strain into a bowl through a cheesecloth-lined strainer. Transfer to a clean saucepan, stir in the lime juice, and bring to a simmer. Let simmer over medium heat for another 15 minutes or until the syrup has reduced quite a bit and thickened. Remove from heat and allow to cool completely."
rhubarb-rosewater-syrup-recipe,"Stir in the rosewater a bit at a time, until it is to your liking. Rose water can be quite an assertive flavor, so be judicious to start. It keeps, refrigerated, for a week or so."
rhubarb-rosewater-syrup-recipe,"Serve over yogurt, in soda water, or drizzled over waffles."
Recipe      ,Instruction
turmeric-tea,"Work the turmeric into the honey until it forms a paste. You can keep this on hand, in a jar, for whenever you'd like a cup."
turmeric-tea,"For each cup of tea, place a heaping teaspoon of the turmeric paste in the bottom of a mug. Pour hot (but not boiling water) into the mug, and stir well to dissolve the turmeric paste. Add a big squeeze of juice from a lemon, and a good amount of black pepper. Enjoy! Stir now and then as you drink so all the good stuff doesn't settle to the bottom, or top off with more hot water as you drink it."
Recipe              ,Instruction
toasted-coconut-milk,"In a blender, combine the coconut, water, and salt. Blend, and then blend some more. Strain through a nut bag (makes it easy!) or fine strainer. Sweeten to taste if you like, I usually use a few drops of liquid stevia, or maple syrup. Refrigerate."
Recipe                   ,Instruction
blood-orange-gin-sparkler,"Combine the water, sugar, rosemary, and bay in a small saucepan over medium heat. Bring to a simmer for 3-5 minutes, or long enough for the sugar to dissolve, stirring occasionally. Remove from the heat and let infuse for 10 minutes. Strain into a jar to cool completely."
blood-orange-gin-sparkler,"In the meantime, juice and strain your oranges, you'll need 3 tablespoons / 1.5 ounces of juice for each drink."
blood-orange-gin-sparkler,"To make each drink you're going to combine equal parts gin, juice, and tonic water with a bit of syrup and ice. So, its 3 tablespoons / 1 1/2 oz gin, 3 tablespoons / 1 1/2 oz freshly squeezed blood orange juice, and 1-2 teaspoons of the rosemary syrup in each tall glass (I used kolsch glasses here). Stir to combine, fill each glass 2/3 full with ice and top off with 3 tablespoons / 1 1/2 oz tonic water. Stir again and you're set."
Recipe            ,Instruction
green-juice-recipe,"Combine the above in a juicer - serve, refrigerate, or freeze immediately. Refrigerated, I've found the green juice to be pretty great on day two, as well as the morning of day three."
Recipe                 ,Instruction
pineapple-coconut-water,"Combine the pineapple juice, coconut water, and ginger juice in a cocktail shaker or mason jar filled with ice. Shake well, taste, and if needed, add a bit of honey to sweeten. If your pineapple is sweet enough, you won't need much honey, if any."
pineapple-coconut-water,"Fill small, chilled glasses with lots of ice cubes, and razor-thin slices of lime. Pour the pineapple coconut water into the prepared glasses, and finish with an extra squeeze of lime if you like."
Recipe               ,Instruction
