be_matched_ingredient,matched_grocery,price_list,avg_mid_price
eggs,"][grade a large eggs, 90][grade a extra large eggs, 90][hard cooked eggs, 90][cackle fresh grade a large eggs, 90][eggplant, 68","[1.69, 1.99, 1.49, 3.99, 1.49]",1.72
vanilla extract,"][pure vanilla extract, 95][rodelle pure vanilla extract, 90][mccormick pure vanilla extract, 90][simply organic madagascar vanilla extract, 90][bolthouse farms protein vanilla chai tea, 86","[1.0414998500855397, 1.3756065396385277, 2.242226494294432, 2.2495139229377656, 0.053109063109239484]",1.55
plus 2 tablespoons / 200g buttermilk or plain yogurt,"][tyson all natural boneless & skinless antibiotic free chicken thighs1.26-2.938 lbs, 86][foster farms free range boneless & skinless thin sliced chicken breasts0.8-2.8lbs, 86][baby back pork ribs2.015-2.726 lbs, 86][2 gingers irish whiskey, 86][vizzy hard seltzer variety pack #2, 86","[10.25, 16.77, 9.46, 4.0198339999999995, 0.7079525729679159]",7.91
/ 100g vegetable oil*,"][vegetable oil, 95][cut fruit express vegetable tray, 86][organic vegetable tray with dip, 86][suja organic vegan mighty dozen fruit and vegetable drink, 86][esse water essential oil enhanced lemon water, 86","[0.197184547640464, 1.4933147770763957, 1.3681105486869258, 0.7141940238191458, 0.7481698141917597]",0.94
/ 225g hot water,"][nashville hot chopped salad kit, 86][harmless harvest coconut water, 86][naked juice organic coconut water, 86][esse water essential oil enhanced lemon water, 86][esse water essential oil enhanced grapefruit water, 86","[2.9599863607235872, 2.6063319752846907, 1.2994741914213739, 1.708658089167667, 1.708658089167667]",2.01
egg whites,"][cage-free liquid egg whites, 90][jimmy dean delights turkey sausage, egg whites, & cheese frozen english muffin, 90][jimmy dean delights turkey sausage, egg whites, & cheese frozen croissant, 90][jimmy dean delights chicken sausage, egg whites, & cheese frozen english muffin, 90][southern comfort traditional non-alcoholic egg nog, 86","[4.69, 7.39, 7.39, 7.39, 2.99]",6.49
/ 450g sugar,"][sugar snap peas, 86][organic sugar snap peas, 86][humm zero sugar peach tea kombucha, 86][humm zero sugar blood orange kombucha, 86][suja low sugar refreshers pack, 86","[6.548865500273374, 7.722497310358208, 4.892975437161956, 4.892975437161956, 90.00456489762794]",6.39
/ 120g water,"][harmless harvest coconut water, 86][naked juice organic coconut water, 86][esse water essential oil enhanced lemon water, 86][esse water essential oil enhanced grapefruit water, 86][èsse lemon ginger sparkling wellnèsse water, 86","[1.3031659876423454, 0.6497370957106869, 0.8543290445838335, 0.8543290445838335, 0.8300420985003466]",0.85
golden syrup,"][gt's synergy organic golden pineapple raw kombucha, 86][rebbl elixir organic turmeric golden coconut milk, 86][gardein golden frozen fishless filet, 86][johnsonville vermont maple syrup breakfast sausage, 86][rose's grenadine syrup, 86","[0.15904864152028, 0.26037496252138487, 0.3248629771352945, 0.24732358595389692, 0.21832045581348172]",0.24
a pinch of salt,"][once upon a farm organic wild rumpus avocado fruit & veggie blend, 86][once upon a farm organic ohmymega veggie! fruit & veggie blend, 86][once upon a farm organic green kale & apples fruit & veggie blend, 86][once upon a farm organic berry berry kids' dairy-free smoothie, 86][once upon a farm organic coco for mangoes kids' dairy-free smoothie, 86","[2.49, 2.49, 2.49, 2.49, 2.49]",2.49
vanilla extract,"][pure vanilla extract, 95][rodelle pure vanilla extract, 90][mccormick pure vanilla extract, 90][simply organic madagascar vanilla extract, 90][bolthouse farms protein vanilla chai tea, 86","[1.0414998500855397, 1.3756065396385277, 2.242226494294432, 2.2495139229377656, 0.053109063109239484]",1.55
flour (all-purpose or whole wheat pastry),"][organic whole carrots, 86][whole white mushrooms, 86][whole carrots, 86][naked green machine all natural fruit + boosts juice smoothie, 86][naked all natural protein zone double berry protein juice smoothie , 86","[0.6728822377819715, 1.9717014409425209, 0.41468323956330805, 1.5318983626370464, 1.7515253680330387]",1.32
rolled oats,"][bob's red mill gluten free old fashioned rolled oats, 90][bob's red mill organic regular rolled oats, 90][quaker 100% whole grain old fashioned rolled oats canister, 90][kodiak cakes classic rolled oats oatmeal canister, 90][bob's red mill organic thick rolled oats, 90","[3.0723072717331874, 2.602854547699254, 2.6799375258430977, 5.5186775780877975, 2.602854547699254]",2.79
sugar,"][sugar snap peas, 90][organic sugar snap peas, 90][humm zero sugar peach tea kombucha, 90][humm zero sugar blood orange kombucha, 90][suja low sugar refreshers pack, 90","[0.1820667031164571, 0.214695144535177, 0.13603087530759264, 0.13603087530759264, 2.5022401812433426]",0.18
fine grain natural cane sugar OR brown sugar,"][sugar snap peas, 86][organic sugar snap peas, 86][naked all natural protein zone double berry protein juice smoothie , 86][tyson all natural antibiotic free chicken drumsticks1.49-2.938 lbs, 86][tyson all natural boneless & skinless antibiotic free chicken thighs1.26-2.938 lbs, 86","[1.4553034445051942, 1.716110513412935, 0.8757626840165194, 5.85, 10.25]",3.01
finely shredded non-sweetened coconut,"][shredded iceberg lettuce, 86][shredded romaine, 86][kevita mojita lime mint coconut sparkling probiotic drink, 86][kevita strawberry acai coconut sparkling probiotic drink, 86][shredded chicken, 86","[1.867378613379425, 2.5976384063210993, 1.5737640294965354, 1.5737640294965354, 4.861443764440289]",2.01
scant 1/2 teaspoon fine sea salt,"][tyson trimmed & ready boneless & skinless chicken breast1-2.11lbs, 86][tyson trimmed & ready chicken tenderloins1.25-2.1 lbs, 86][smart chicken organic boneless & skinless chicken breast0.75-1.75lbs, 86][smart chicken organic chicken tenderloins0.75-1.75lbs, 86][tyson all natural antibiotic free chicken drumsticks1.49-2.938 lbs, 86","[10.53, 11.11, 19.23, 19.23, 5.85]",13.62
butter,"][butter lettuce blend, 90][organic girl true hearts butter, plus! lettuce, 90][butter lettuce head, 90][greenhouse grown butter lettuce, 90][ready pac foods tender butter lettuce, 90","[0.5203148791571869, 1.172013615760419, 3.19, 0.8097654083650311, 1.2163882960898782]",1.07
golden syrup or honey,"][gt's synergy organic golden pineapple raw kombucha, 86][rebbl elixir organic turmeric golden coconut milk, 86][bragg organic honey apple cider vinegar probiotic shot, 86][gardein golden frozen fishless filet, 86][jack daniel's tennessee honey pulled chicken, 86","[0.2120648553603733, 0.3471666166951798, 1.4963396283835193, 0.4331506361803927, 0.5214024938711442]",0.43
zest of one medium orange,"][navel orange, 86][health-ade organic vegan blood orange carrot ginger kombucha, 86][naked immune support orange carrot juice smoothie, 86][hoplark the citra bomb one sparkling hoptea, 86][hoplark the green tea one sparkling hoptea, 86","[0.75, 3.49, 2.79, 2.99, 2.99]",2.92
boiling water,"][harmless harvest coconut water, 86][naked juice organic coconut water, 86][esse water essential oil enhanced lemon water, 86][esse water essential oil enhanced grapefruit water, 86][èsse lemon ginger sparkling wellnèsse water, 86","[0.16303344562220384, 0.08128579050311215, 0.10688140202739423, 0.10688140202739423, 0.10384296752159873]",0.11
baking soda,"][baking soda, 100][arm & hammer pure baking soda, 90][sanar naturals sodium bicarbonate antacid baking soda, 90][baking sweet potato, 86][pepsi soda shop cream soda, 86","[0.02120848692216794, 0.02228056428306874, 0.1494382616977372, 1.29, 0.017341914589450395]",0.06
orange blossom water*,"][navel orange, 86][harmless harvest coconut water, 86][naked juice organic coconut water, 86][health-ade organic vegan blood orange carrot ginger kombucha, 86][humm zero sugar blood orange kombucha, 86","[0.75, 0.16303344562220384, 0.08128579050311215, 0.10916022790674085, 0.13603087530759264]",0.14
(120 grams) whole-wheat flour,"][whole wheat flour, 90][whole carrots, 86][genius juice whole coconut smoothie original, 86][genius juice whole coconut smoothie vanilla, 86][whole grain dinosaur shaped chicken nuggetsfrozen, 86","[0.25976384063210994, 0.41468323956330805, 3.992202478570342, 3.992202478570342, 1.5223938146449094]",1.98
(125 grams) all-purpose flour,"][all purpose flour, 90][naked green machine all natural fruit + boosts juice smoothie, 86][naked all natural protein zone double berry protein juice smoothie , 86][tyson all natural all natural chicken nuggetsfrozen, 86][tyson all natural white meat fun nuggetsfrozen, 86","[0.17630557858163282, 1.5318983626370464, 1.7515253680330387, 1.5100729289758197, 1.6662873699043528]",1.57
(15 grams) baking powder,"][no antibiotics ever vegetable fed young chicken3.15-7.34 lbs, 86][organic 100% grassfed 85/15 ground beef, 86][all natural 85/15 ground round patties, 86][all natural 85/15 beef pattiesfrozen, 86][real ketones d-bhb keto lean weight loss for life powder sticksorange blast, 86","[11.67, 0.23786133794246814, 0.05701820137921304, 0.14563161019888654, 19.99]",4.02
(50 grams) sugar,"][organic sugar snap peas, 86][taylor farms organic 50/50 blend baby spring mix & baby spinach, 86][humm zero sugar peach tea kombucha, 86][humm zero sugar blood orange kombucha, 86][suja low sugar refreshers pack, 86","[0.8580552567064675, 0.781117171378684, 0.5436639374624395, 0.5436639374624395, 10.000507210847548]",0.73
fine grain sea salt,"][gardein vegan frozen seven grain crispy tenders, 86][whole grain dinosaur shaped chicken nuggetsfrozen, 86][yummy whole grain dino buddies chicken nuggetsfrozen, 86][perdue simply smart organic whole grain breaded chicken breast nuggetsfrozen, 86][yummy whole grain alpha buddies chicken breast nuggetsfrozen, 86","[0.12152281737283237, 0.047615022097938844, 0.07445499584690754, 0.07641806003998125, 0.07445499584690754]",0.08
(3 ounces or 85 grams) unsalted butter,"][salted butter, 90][unsalted butter, 90][butter lettuce blend, 86][butter lettuce head, 86][perdue boneless & skinless antibiotic free chicken breast1.3-2.4 lbs, 86","[0.5853542390518353, 0.5853542390518353, 1.5609446374715608, 3.19, 11.98]",1.78
(4 3/4 ounces or 135 grams) fresh blackberries,"][blackberries, 90][ocean spray fresh cranberries, 86][crazy fresh cantaloupe chunks, 86][crazy fresh watermelon spears, 86][crazy fresh pineapple chunks, 86","[3.7417120819297227, 1.7317589375473994, 3.332766597882385, 3.124468685514736, 3.332766597882385]",3.26
(190 grams) whole-milk ricotta,"][whole milk, 90][whole carrots, 86][rebbl elixir organic vegan maca mocha coconut milk, 86][genius juice whole coconut smoothie original, 86][rebbl elixir organic turmeric golden coconut milk, 86","[0.15535350158047903, 0.311012429672481, 1.9951011885640861, 2.9941518589277565, 2.081240409883772]",1.46
(80 ml) heavy cream,"][all natural 80/20 ground beef, 86][dr pepper zero sugar cream soda, 86][zevia cream soda zero calorie soda, 86][dr. brown's the original cream soda 6pk, 86][stewart's orange 'n cream made with sugar, 86","[0.9373406056544206, 0.0865043873738313, 0.17634227715127843, 0.0996717218681139, 0.1995101188564086]",0.16
/ 4.5 oz / 125g all-purpose flour,"][all purpose flour, 90][naked green machine all natural fruit + boosts juice smoothie, 86][naked all natural protein zone double berry protein juice smoothie , 86][tyson all natural all natural chicken nuggetsfrozen, 86][tyson all natural antibiotic free chicken drumsticks1.49-2.938 lbs, 86","[0.17630557858163282, 1.5318983626370464, 1.7515253680330387, 1.5100729289758197, 5.85]",1.6
/ 5 oz / 140g whole wheat flour,"][whole wheat flour, 90][whole carrots, 86][genius juice whole coconut smoothie original, 86][boneless & skinless chicken breast value pack4.5-5.25lbs, 86][whole grain dinosaur shaped chicken nuggetsfrozen, 86","[0.25976384063210994, 0.41468323956330805, 3.992202478570342, 10.45, 1.5223938146449094]",1.98
/ 4.5 oz / 125 g dark muscovado or dark brown sugar,"][dark brown sugar, 90][dark sweet cherries, 86][sugar snap peas, 86][organic sugar snap peas, 86][rebbl protein dark chocolate, 86","[0.311012429672481, 1.3672810587488315, 2.1829551667577913, 2.5741657701194023, 2.4951265491064634]",2.02
baking soda,"][baking soda, 100][arm & hammer pure baking soda, 90][sanar naturals sodium bicarbonate antacid baking soda, 90][baking sweet potato, 86][pepsi soda shop cream soda, 86","[0.02120848692216794, 0.02228056428306874, 0.1494382616977372, 1.29, 0.017341914589450395]",0.06
kosher salt,"][morton coarse kosher salt, 90][morton's of omaha usda choice salt & pepper beef brisket2.33-5lbs, 86][hormel sliced cured salt pork, 86][oscar mayer smoked uncured turkey bacon with sea salt, 86][phillips salt & pepper calamarifrozen, 86","[0.046250815711035474, 34.95, 0.13018748126069243, 0.14202270682984633, 0.35199562602515044]",0.21
/ 4 oz / 115 g coarsely chopped bittersweet chocolate,"][chopped caesar salad kit, 86][avocado toast chopped salad kit, 86][asian style chopped salad kit, 86][chopped kale, 86][southwest chopped salad kit, 86","[2.9865333236000318, 2.4043210511292674, 2.5615266583184892, 1.5596262720682905, 2.642844964931774]",2.54
/ 80 ml extra-virgin olive oil,"][extra virgin olive oil, 95][esse water essential oil enhanced lemon water, 86][esse water essential oil enhanced grapefruit water, 86][kretschmar extra lean black forest brand hamdeli fresh sliced, 86][cloverdale extra thick cut applewood bacon, 86","[0.7096421453641156, 0.5125974267503001, 0.5125974267503001, 9.99, 1.042706661493148]",0.75
large eggs,"][grade a large eggs, 90][vital farms alfresco pasture-raised grade a large eggs, 90][eggland's best grade a large eggs, 90][grade a extra large eggs, 90][vital farms organic pasture-raised grade a large eggs, 90","[1.69, 5.69, 2.79, 1.99, 6.99]",3.49
/ 12 oz / 340 g mashed,"][once upon a farm organic pear-y blueberry & spinach smart blend 12+ months, 86][g.h. mumm brut cordon rouge champagne, 86][buchanans 12 year de luxe blended scotch whisky, 86][auchentoshan single malt 12 year old scotch whiskey, 86][organic mango passion fruit flavored juice blend64 fl oz bottle, 86","[8.906188821672341, 23.655268000000003, 15.137667999999998, 28.387268, 3.49]",15.9
/ 60 ml plain,"][marine harvest farmed plain atlantic salmon portion, 86][marine harvest farmed atlantic salmon portion plain, 86][marine harvest plain salmon portionfrozen, 86][dogfish head 60 minute ipa beer, 86][organic plain instant oatmeal packet, 86","[1.4331348436480362, 1.458433129332087, 1.4331348436480362, 0.30529326179781824, 0.7896841883890079]",1.22
freshly grated lemon zest,"][lemon, 90][ready pac lemon kale with protein salad kit, 86][tessemae's organic lemon garlic dressing, 86][kevita raspberry lemon master brew kombucha, 86][concord foods reconstituted lemon juice, 86","[0.55, 0.3678952735964842, 0.24972357008808566, 0.09844339660417889, 0.10565014098583003]",0.24
vanilla extract,"][pure vanilla extract, 95][rodelle pure vanilla extract, 90][mccormick pure vanilla extract, 90][simply organic madagascar vanilla extract, 90][bolthouse farms protein vanilla chai tea, 86","[1.0414998500855397, 1.3756065396385277, 2.242226494294432, 2.2495139229377656, 0.053109063109239484]",1.55
/ 3 oz / 85 g sifted dark muscovado or dark brown sugar,"][dark brown sugar, 90][dark sweet cherries, 86][sugar snap peas, 86][organic sugar snap peas, 86][humm zero sugar peach tea kombucha, 86","[0.20734161978165402, 0.9115207058325544, 1.4553034445051942, 1.716110513412935, 1.087327874924879]",1.15
/ 2 oz / 55g confectioners' sugar,"][sugar snap peas, 86][tyson trimmed & ready boneless & skinless chicken breast1-2.11lbs, 86][tyson trimmed & ready chicken tenderloins1.25-2.1 lbs, 86][tyson all natural antibiotic free chicken drumsticks1.49-2.938 lbs, 86][tyson all natural antibiotic free chicken wings1.48-2.75 lbs, 86","[1.4553034445051942, 10.53, 11.11, 5.85, 10.97]",9.12
freshly squeezed lemon juice,"][lemon, 90][ready pac lemon kale with protein salad kit, 86][kevita raspberry lemon master brew kombucha, 86][naked juice guava, 86][naked juice pina colada juice vegan smoothie, 86","[0.55, 0.7357905471929684, 0.19688679320835778, 0.18371710804391914, 0.18371710804391914]",0.31
/ 9 oz / 255 rolled oats (not instant),"][essentia water 9.5 ph or higher ionized alkaline water, 86][essentia water 9.5ph, 86][pulp free 100% orange juice not from concentrate w/ calcium & vitamin d, 86][organic mango passion fruit flavored juice blend64 fl oz bottle, 86][organic 100% orange juice not from concentrate w/ calcium & vitamin d, 86","[1.24599475, 1.5688559413473075, 1.603542867770132, 3.49, 1.7727822205690906]",1.65
/ 4.5 oz / 125 g whole wheat flour,"][whole wheat flour, 90][organic whole carrots, 86][whole white mushrooms, 86][whole carrots, 86][perdue boneless & skinless antibiotic free chicken breast1.3-2.4 lbs, 86","[0.25976384063210994, 0.6728822377819715, 1.9717014409425209, 0.41468323956330805, 11.98]",1.02
/ 1 1/2 oz / 45 g wheat bran (or germ),"][tyson trimmed & ready boneless & skinless chicken breast1-2.11lbs, 86][tyson trimmed & ready chicken tenderloins1.25-2.1 lbs, 86][smart chicken organic boneless & skinless chicken breast0.75-1.75lbs, 86][smart chicken organic chicken tenderloins0.75-1.75lbs, 86][tyson all natural antibiotic free chicken drumsticks1.49-2.938 lbs, 86","[10.53, 11.11, 19.23, 19.23, 5.85]",13.62
baking soda,"][baking soda, 100][arm & hammer pure baking soda, 90][sanar naturals sodium bicarbonate antacid baking soda, 90][baking sweet potato, 86][pepsi soda shop cream soda, 86","[0.02120848692216794, 0.02228056428306874, 0.1494382616977372, 1.29, 0.017341914589450395]",0.06
baking powder,"][double acting baking powder, 90][clabber girl gluten free double acting baking powder, 90][real ketones d-bhb keto lean weight loss for life powder sticksorange blast, 86][real ketones d-bhb exogenous keto caffeinated weight loss powder stickspeach, 86][nestle nesquik chocolate flavor powder, 86","[0.1730515855985441, 0.19238695829111888, 19.99, 14.99, 0.17492740533737597]",5.12
fine grain sea salt,"][gardein vegan frozen seven grain crispy tenders, 86][whole grain dinosaur shaped chicken nuggetsfrozen, 86][yummy whole grain dino buddies chicken nuggetsfrozen, 86][perdue simply smart organic whole grain breaded chicken breast nuggetsfrozen, 86][yummy whole grain alpha buddies chicken breast nuggetsfrozen, 86","[0.12152281737283237, 0.047615022097938844, 0.07445499584690754, 0.07641806003998125, 0.07445499584690754]",0.08
/ 8 oz / 225 g unsalted butter,"][salted butter, 90][unsalted butter, 90][organic girl true hearts butter, plus! lettuce, 86][perdue chicken breast tenderloins antibiotic free0.8-1.4 lbs, 86][foster farms free range boneless & skinless thin sliced chicken breasts0.8-2.8lbs, 86","[1.5596262720682905, 1.5596262720682905, 9.368189915166052, 6.99, 16.77]",5.97
/ 6.5 oz / 185 g natural cane sugar or light brown sugar,"][light brown sugar, 90][sugar snap peas, 86][organic sugar snap peas, 86][humm zero sugar peach tea kombucha, 86][naked juice all natural orange mango, 86","[0.41468323956330805, 2.9106068890103884, 3.43222102682587, 2.174655749849758, 1.4684955325402456]",2.18
/ 6 oz / 170 g firmly packed Muscovado or dark brown sugar,"][dark brown sugar, 90][dark sweet cherries, 86][sugar snap peas, 86][organic sugar snap peas, 86][humm zero sugar peach tea kombucha, 86","[0.41468323956330805, 1.8230414116651088, 2.9106068890103884, 3.43222102682587, 2.174655749849758]",2.3
large eggs,"][grade a large eggs, 90][vital farms alfresco pasture-raised grade a large eggs, 90][eggland's best grade a large eggs, 90][grade a extra large eggs, 90][vital farms organic pasture-raised grade a large eggs, 90","[1.69, 5.69, 2.79, 1.99, 6.99]",3.49
vanilla extract,"][pure vanilla extract, 95][rodelle pure vanilla extract, 90][mccormick pure vanilla extract, 90][simply organic madagascar vanilla extract, 90][bolthouse farms protein vanilla chai tea, 86","[1.0414998500855397, 1.3756065396385277, 2.242226494294432, 2.2495139229377656, 0.053109063109239484]",1.55
/ 285 g semi-sweet chocolate bar,"][sweet red cherries, 86][crunch pak sweet apple snackers with pretzels & cheese, 86][mini sweet peppers, 86][dark sweet cherries, 86][sweet corn, 86","[2.4893957565389164, 5.653269666874289, 2.1774414010829117, 2.1805609446374716, 4.19]",2.95
vanilla extract,"][pure vanilla extract, 95][rodelle pure vanilla extract, 90][mccormick pure vanilla extract, 90][simply organic madagascar vanilla extract, 90][bolthouse farms protein vanilla chai tea, 86","[1.0414998500855397, 1.3756065396385277, 2.242226494294432, 2.2495139229377656, 0.053109063109239484]",1.55
coconut oil,"][simple mills chocolate organic frosting with coconut oil, 90][nonstick coconut oil cooking spray, 90][organic unrefined virgin coconut oil, 90][organic refined coconut oil, 90][carrington farms coconut oil, 90","[0.2866082294220357, 0.35395333251027356, 0.19726223440574664, 0.13386983393509083, 0.27375262350306007]",0.25
rolled oats,"][bob's red mill gluten free old fashioned rolled oats, 90][bob's red mill organic regular rolled oats, 90][quaker 100% whole grain old fashioned rolled oats canister, 90][kodiak cakes classic rolled oats oatmeal canister, 90][bob's red mill organic thick rolled oats, 90","[3.0723072717331874, 2.602854547699254, 2.6799375258430977, 5.5186775780877975, 2.602854547699254]",2.79
almond meal,"][morningstar farms veggie meal starters grillers frozen crumbles, 86][local crate chef yia vang pork dumplings with kale salad meal kitserves 2, 86][wilson creek almond sparkling wine, 86][naturally flavored toasted almond caramel light roast coffee, 86][mccafe toffee almond medium roast coffeesingle serve pods, 86","[1.8319088520079714, 3.067494960655276, 2.3641071999999994, 8.99, 13.59]",4.81
coconut,"][harmless harvest coconut water, 90][kevita strawberry acai coconut sparkling probiotic drink, 90][naked juice organic coconut water, 90][sol-ti coconut charcoal superade, 90][rebbl elixir organic vegan maca mocha coconut milk, 90","[0.7818995925854072, 0.4721292088489606, 0.3898422574264121, 0.6427171614166183, 0.7980404754256344]",0.63
cinnamon,"][fireball cinnamon whisky, 90][fireball cinnamon whiskey party bucket, 90][harney & sons hot cinnamon sunset black tea, 90][tazo sweet cinnamon spice herbal tea, 90][naturally flavored cinnamon vanilla light roast coffee, 90","[0.13803466666666667, 0.103526, 5.79, 3.29, 8.99]",3.07
fine grain sea salt,"][gardein vegan frozen seven grain crispy tenders, 86][whole grain dinosaur shaped chicken nuggetsfrozen, 86][yummy whole grain dino buddies chicken nuggetsfrozen, 86][perdue simply smart organic whole grain breaded chicken breast nuggetsfrozen, 86][yummy whole grain alpha buddies chicken breast nuggetsfrozen, 86","[0.12152281737283237, 0.047615022097938844, 0.07445499584690754, 0.07641806003998125, 0.07445499584690754]",0.08
baking powder,"][double acting baking powder, 90][clabber girl gluten free double acting baking powder, 90][real ketones d-bhb keto lean weight loss for life powder sticksorange blast, 86][real ketones d-bhb exogenous keto caffeinated weight loss powder stickspeach, 86][nestle nesquik chocolate flavor powder, 86","[0.1730515855985441, 0.19238695829111888, 19.99, 14.99, 0.17492740533737597]",5.12
chocolate chips or dark chocolate bar chopped,"][dark sweet cherries, 86][chopped caesar salad kit, 86][asian style chopped salad kit, 86][chopped kale, 86][southwest chopped salad kit, 86","[1.5317862748902096, 2.5093948636165946, 2.152288671486541, 1.3104552108502796, 2.2206152959781766]",1.97
large cloves garlic,"][extra large red seedless grapes, 86][extra large green seedless grapes, 86][extra large red seedless grape, 86][garlic parsley mini creamer potatoes, 86][spice world premium minced squeeze garlic, 86","[3.59, 3.79, 2.39, 3.99, 3.69]",3.69
extra virgin olive oil,"][extra virgin olive oil, 100][bertolli extra virgin olive oil, 95][organic extra virgin olive oil, 95][goya extra virgin olive oil, 95][bartenura extra virgin olive oil, 95","[4.79, 8.19, 6.99, 7.99, 9.59]",7.72
lemon juice,"][lemon, 90][concord foods reconstituted lemon juice, 90][realemon 100% lemon juice, 90][lawry's herb & garlic with lemon juice marinade, 90][ready pac lemon kale with protein salad kit, 86","[0.55, 0.21130028197166006, 0.13278554561798006, 0.1992510155969829, 0.7357905471929684]",0.32
small bunch cilantro,"][cilantro bunch, 95][kale bunch, 86][spinach bunch, 86][avocado cilantro dressing & dip, 86][good foods plant based cilantro dip, 86","[1.39, 0.99, 1.49, 4.79, 4.99]",2.56
green (serrano) chile,"][extra large green seedless grapes, 86][once upon a farm organic green kale & apples fruit & veggie blend, 86][green bananas, 86][green beans, 86][green onions, 86","[3.79, 2.49, 0.65, 2.79, 0.99]",2.09
ground cumin,"][ground cumin, 100][organic ground cumin, 90][badia ground cumin, 90][mccormick ground cumin, 90][el guapo ground cumin, 90","[0.021454425024152887, 0.03578267879968179, 0.01371100019400695, 0.005751228220760312, 0.021418367166969432]",0.02
a couple big pinches of salt,"][once upon a farm organic wild rumpus avocado fruit & veggie blend, 86][once upon a farm organic ohmymega veggie! fruit & veggie blend, 86][once upon a farm organic green kale & apples fruit & veggie blend, 86][once upon a farm organic berry berry kids' dairy-free smoothie, 86][once upon a farm organic coco for mangoes kids' dairy-free smoothie, 86","[2.49, 2.49, 2.49, 2.49, 2.49]",2.49
large organic eggs,"][extra large red seedless grapes, 86][organic red seedless grapes, 86][extra large green seedless grapes, 86][once upon a farm organic wild rumpus avocado fruit & veggie blend, 86][once upon a farm organic ohmymega veggie! fruit & veggie blend, 86","[3.59, 5.99, 3.79, 2.49, 2.49]",3.29
olive oil,"][pam olive oil, 95][land o lakes spreadable butter with olive oil & sea salt, 90][country crock olive oil plant butter, 90][take & bake rosemary olive oil focaccia bread, 90][take & bake rosemary and olive oil rolls, 90","[0.8123176775604508, 0.34455634138168223, 0.24760325830891453, 0.34664456163248036, 0.2601574395785934]",0.32
small yellow onion,"][yellow onion, 90][red onion, 86][white onion, 86][french onion cashew plant based dip + spread, 86][small tail off peeled & deveined cooked shrimpfrozen, 86","[0.95, 0.99, 0.99, 4.29, 6.49]",2.09
small potatoes,"][gold mini creamer potatoes, 86][red mini creamer potatoes, 86][savory garden herb mini creamer potatoes, 86][garlic parsley mini creamer potatoes, 86][organic russet potatoes, 86","[3.99, 4.29, 3.99, 3.99, 3.69]",3.99
yellow zucchini or cauliflower,"][yellow bell pepper, 86][yellow onions, 86][cauliflower florets, 86][yellow onion, 86][cauliflower head, 86","[1.49, 0.25993771201138177, 0.9702022963367961, 0.95, 2.99]",1.14
goat cheese,"][goat cheese log, 95][montchevre goat cheese, 90][montchevre mediterranean herbs & garlic goat cheese, 90][montchevre crumbled goat cheese, 90][honey goat cheese, 90","[1.301427273849627, 2.602854547699254, 2.602854547699254, 2.602854547699254, 2.0812404098837725]",2.43
pumpkin seeds,"][organic salted roasted shelled pumpkin seeds, 90][jack o'lantern carving pumpkin, 86][southern tier pumking imperial pumpkin ale beer, 86][21 seeds cucumber jalapeno infused blanco tequila, 86][21 seeds valencia orange infused blanco tequila, 86","[8.32496163953509, 5.99, 3.49767739699393, 14.191267999999997, 14.191267999999997]",9.5
couple pinches of salt,"][morton's of omaha usda choice salt & pepper beef brisket2.33-5lbs, 86][oscar mayer smoked uncured turkey bacon with sea salt, 86][phillips salt & pepper calamarifrozen, 86][twang-a-rita classic margarita salt, 86][coco real cream of coconut drink mix, 86","[34.95, 3.99, 8.99, 1.99, 3.99]",5.66
high-quality popcorn kernels,"][morningstar farms frozen spicy popcorn chik'n, 86][frick's quality meats cherrywood ham steak, 86][frick's quality meats honey quarter sliced ham, 86][seapak frozen popcorn shrimp with oven crispy breading, 86][high west american prairie bourbon whiskey, 86","[2.289886065009965, 1.5074648582867423, 1.563103699653727, 1.4441259986948622, 5.834556]",1.79
melted butter or olive oil,"][organic girl true hearts butter, plus! lettuce, 86][esse water essential oil enhanced lemon water, 86][esse water essential oil enhanced grapefruit water, 86][miyoko's organic oat milk cultured butter, 86][gorton's simply bake garlic butter cod filletsfrozen, 86","[1.758020423640629, 0.3206442060821827, 0.3206442060821827, 0.781777456392529, 1.2163882960898784]",0.77
fine grain sea salt,"][gardein vegan frozen seven grain crispy tenders, 86][whole grain dinosaur shaped chicken nuggetsfrozen, 86][yummy whole grain dino buddies chicken nuggetsfrozen, 86][perdue simply smart organic whole grain breaded chicken breast nuggetsfrozen, 86][yummy whole grain alpha buddies chicken breast nuggetsfrozen, 86","[0.12152281737283237, 0.047615022097938844, 0.07445499584690754, 0.07641806003998125, 0.07445499584690754]",0.08
quinoa,"][organic rainbow quinoa, 90][organic quinoa, 90][glenmorangie 14yr quinta ruban port cask whisky, 75][orin swift mannequin chardonnay white wine, 71][patrón silver tequila, 66","[5.271780219521802, 4.238984226647149, 37.84969066666667, 18.921690666666663, 28.385690666666665]",17.53
water,"][mini watermelon, 90][fresh garden highway watermelon spears, 90][watermelon spears, 90][crazy fresh watermelon spears, 90][crazy fresh watermelon chunks, 90","[3.99, 0.7808563643097761, 0.7808563643097761, 0.9373406056544206, 0.9998299793647153]",0.91
